#       time                file                area                mass    irreducible mass                spin      dimless spin-x      dimless spin-y      dimless spin-z  dimless spin-z-alt     linear mom. |P|      linear mom. Px      linear mom. Py      linear mom. Pz            origin_x            origin_y            origin_z            center_x            center_y            center_z
  36.0000000    7.2000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  36.5000000    7.3000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  37.0000000    7.4000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  37.5000000    7.5000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  38.0000000    7.6000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  38.5000000    7.7000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  39.0000000    7.8000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  39.5000000    7.9000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  40.0000000    8.0000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
  40.5000000    8.1000000000e+01                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan                 nan    0.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00    8.0000000000e+00    8.0000000000e+00    0.0000000000e+00
